"Obs","HHMMSS","FTime","Photo","!AdjPhoto","Cond","Ci","Trmmol","VpdL","Area","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","Status","PhiPS2","OxygenPress","comment"
16,"12:02:50","5151.500488","-16.00017567","-16.00017567","0.148955422","215.9181221","5.156235791","2.664869513","0.560000002","1","13.19252338","26.44347954","27.61016083","26.16427231","46.88013458","49.82138062","12.3560009","13.30649853","28.0026207","30.15674973","299.7450562","701.3922119","782.0053711","78.50132751",NA,NA,"0.75","111135","0.389375498",-9999,"1_ACi"
17,"12:05:22","5303.500488","0.097991626","0.097991626","0.147383021","188.6206232","5.248962339","2.739991592","0.560000002","1","13.19252338","26.76521683","27.96228409","26.47844505","201.1140594","200.8987732","12.36370277","13.33113289","27.49404907","29.64539146","299.7873535","700.7623901","790.2192383","78.50138092",NA,NA,"0.75","111115","0.429922902",-9999,"1_ACi"
18,"12:07:54","5455.500488","3.767766688","3.767766688","0.143698165","240.7522745","5.280464076","2.825039713","0.560000002","1","13.19252338","27.09904099","28.29361153","26.81088066","300.1132507","299.1143188","12.21473026","13.18817997","26.63387108","28.75644875","299.7650146","700.0266724","791.3826294","78.49768066",NA,NA,"0.5","111115","0.466166705",-9999,"1_ACi"
19,"12:10:32","5613.500488","8.959382094","8.959382094","0.137262899","366.5658542","5.186586851","2.902009503","0.560000002","1","13.19252338","27.43193817","28.64310455","27.14868355","500.4645386","498.3078308","12.25987053","13.21605682","26.21623039","28.26091766","299.7431335","700.1821899","773.4996338","78.49920654",NA,NA,"0.5","111115","0.486479769",-9999,"1_ACi"
20,"12:13:10","5771.500488","11.94696161","11.94696161","0.132866997","420.8175227","5.138910295","2.967865975","0.560000002","1","13.19252338","27.72998047","28.90028954","27.45987511","600.5169678","597.7116699","12.18609238","13.13337708","25.60327148","27.59354019","299.8037109","699.8214722","615.8379517","78.48402405",NA,NA,"0.75","111115","0.520283185",-9999,"1_ACi"
21,"12:15:49","5930.000488","16.88538193","16.88538193","0.126150174","539.3232818","4.90112574","2.980206598","0.560000002","1","13.19252338","27.82276154","28.87051392","27.56078339","801.0010376","797.1173706","11.98491955","12.88857841","25.04412079","26.9324379","299.8096008","700.4766846","447.6218567","78.48268127",NA,NA,"0.5","111115","0.535444295",-9999,"1_ACi"
22,"12:18:23","6084.000488","19.48186152","19.48186152","0.11970886","680.700174","4.638487163","2.971304314","0.560000002","1","13.19252338","27.7979641","28.78510475","27.54595184","999.9777832","995.475769","11.89599419","12.75146294","24.89328766","26.68342209","299.7690125","701.0632935","378.0663757","78.47946167",NA,NA,"0.5","111115","0.544709386",-9999,"1_ACi"
23,"12:20:54","6235.000488","24.19784826","24.19784826","0.113260135","836.7784948","4.363020407","2.953552737","0.560000002","1","13.19252338","27.68440247","28.63528442","27.44049835","1251.316284","1245.780273","11.73490429","12.53977299","24.71974564","26.41521263","299.7573547","701.1610107","382.9125366","78.47986603",NA,NA,"0.75","111115","0.54622336",-9999,"1_ACi"
24,"12:23:45","6406.000488","28.09311116","28.09311116","0.107196936","993.7696285","4.128911137","2.952828233","0.560000002","1","13.19252338","27.52044106","28.51473808","27.27351761","1499.563354","1493.163818","11.43742657","12.19930935","24.32484627","25.94519997","299.7814331","701.3365479","383.1759033","78.47875214",NA,NA,"0.75","111115","0.553733146",-9999,"1_ACi"
25,"12:26:24","6565.500488","35.4800802","35.4800802","0.102976388","1333.052842","3.980305365","2.963410909","0.560000002","1","13.19252338","27.37532234","28.42344284","27.12633514","1999.608765","1991.499756","11.06563759","11.80043983","23.73583794","25.31199074","299.7633972","701.3443604","404.2250061","78.48184204",NA,NA,"0.5","111115","0.551523243",-9999,"1_ACi"
