"ID","Series","Repeat","Ambient Humidity","Ambient Temperature","Leaf Angle","Leaf Temp Differential","Light Intensity (PAR)","Phi2_250","PhiNO_250","PhiNPQ_250","time","Plant ID","Time of Day","User","Device ID","Latitude","Longitude","Issues"
2702568,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,14.73438,34.94,8.228,0.23000000000000398,0.182,0.618,0.161,0.221,"05/18/2022 12:22 PM",2,12.374166666666667,"CRG","06:02:00:83",41.31276166666667,-105.58502500000002,""
2702567,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,12.32715,32.4,4.707,-6.869999999999997,0.847,0.557,0.181,0.262,"05/18/2022 12:17 PM",33,12.29,"CRG","06:03:03:43",41.31265431,-105.58502919,""
2702566,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,17.89355,31.7,4.618,-0.6899999999999977,0.037,0.606,0.159,0.235,"05/18/2022 12:15 PM",12,12.254722222222222,"CRG","06:02:00:83",41.31258833333333,-105.58497666666666,""
2702565,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,12.82129,31.6,5.682,-6.41,0.282,0.575,0.177,0.249,"05/18/2022 12:07 PM",31,12.125,"CRG","06:02:00:83",41.31265499999999,-105.58497000000001,""
2702563,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,14.28613,34.05,18.239,0.5600000000000023,0.01,0.478,0.146,0.375,"05/18/2022 11:39 AM",29,11.659166666666668,"CRG","06:02:00:83",41.31258666666666,-105.58496833333332,""
2702519,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,12.95117,33.21,6.279,-4.16,0.021,0.525,0.185,0.289,"05/18/2022 11:33 AM",15,11.550277777777778,"CRG","06:02:00:83",41.31267666666666,-105.58494999999999,""
2702518,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,15.24609,30.45,6.766,1.9599999999999973,0.04,0.647,0.17,0.183,"05/18/2022 11:21 AM",7,11.363888888888889,"CRG","06:02:00:83",41.312641666666664,-105.58496500000001,""
2702500,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,21.14258,27.64,4.656,-2.3100000000000023,0.027,0.567,0.188,0.245,"05/18/2022 10:59 AM",8,10.985277777777776,"CRG","06:02:00:83",41.312720000000006,-105.585065,""
2702476,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,19.53711,24.47,3.247,-1.0799999999999983,0.012,0.641,0.183,0.176,"05/18/2022 10:49 AM",19,10.824722222222222,"CRG","06:02:00:83",41.312686666666664,-105.58505166666667,""
2702451,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,17.83789,23.18,0.964,-1.0899999999999999,0.331,0.532,0.172,0.297,"05/18/2022 10:39 AM",22,10.6525,"CRG","41:00:12:f0",,,""
2702440,"May 16, 2022 12:32 PM - May 19, 2022 11:49 AM",1,19.80957,22.93,3.18,-2.6799999999999997,0,0.582,0.221,0.196,"05/18/2022 10:39 AM",5,10.654722222222222,"CRG","06:02:00:83",41.31265666666666,-105.58503666666665,""
