Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo,comment
4,11:39:30,2743.000076,0,2.242077432,0.006273531,-369.2426938,4,3,138.0617218,555.9320679,146.5683594,297.2181091,172.0509338,0.751657208,0.506865985,0.421129034,0.605761296,0.87,0.92,9.968268394,0.874984134,0.002665292,0.830848876,0.631990461,0.870451533,701.7316284,0.5,129.2874645,0.200051214,2.399281376,25.37545013,2,4.644859791,1,9.289719582,25.32574272,25.37545013,25.25388336,200.0662384,198.5499115,10.90233421,11.03380775,25.97533607,26.28840637,300.9638062,701.652771,178.4584503,77.24169922,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504819031,2.00051e-4,298.5254501,298.4757427,112.2644409,0.411144672,3.251551436,42.09580406,31.06199631,25.35059643,3.246750106,0.006269297,0.85227006,2.394480046,0.003918691,-28.5209331,-1.859697096,24.24865961,198.2240885,0.002742723,417.8703461,613.9350423,150.6497498,0.78644142,0.619124954,7_ACi
5,11:44:40,3053.500055,0,0.990901027,0.005771068,-173.5857283,5,4,138.0617218,555.9320679,144.7949219,284.9894714,171.1739349,0.751657208,0.491928873,0.399367513,0.605761296,0.87,0.92,10.03421497,0.875017107,6.30615e-4,0.811839953,0.659007825,0.950710898,697.9648438,0.5,121.953096,0.179214464,2.337684111,25.03311729,2,4.644859791,1,9.289719582,25.05410576,25.03311729,25.00160408,100.1101227,99.43978119,10.86334991,10.981138229999999,26.30665588,26.5916481,300.9576721,697.9707642,455.302948,77.24854279,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504788361,1.79214e-4,298.1831173,298.2041058,111.6753198,0.415763516,3.185961037,41.24299207,30.26185384,25.04361153,3.187954403,0.005767486,0.848276926,2.339677477,0.003605,-13.40924456,-1.745636668,24.7049085,99.29578154,0.002465374,417.8703461,610.7363592,140.1945496,0.774636083,0.648389145,7_ACi
6,11:49:50,3364.000033,0,0.119863201,0.005625435,14.14838984,6,5,138.0617218,555.9320679,144.3007813,274.5617676,171.134552,0.751657208,0.474432356,0.376699263,0.605761296,0.87,0.92,10.03421497,0.875017107,-7.95436e-4,0.793999942,0.683549355,1.024797818,698.1610718,0.5,115.0633327,0.173721185,2.325187623,24.94873238,2,4.644859791,1,9.289719582,24.96042633,24.94873238,24.90862083,49.92490387,49.83950043,10.82069492,10.93487167,26.35271072,26.63088989,300.9747009,698.1089478,451.3243408,77.25597382,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504873505,1.73721e-4,298.0987324,298.1104263,111.6974291,0.416411405,3.169971783,41.03206038,30.09718871,24.95457935,3.171077402,0.00562203,0.84478416,2.326293243,0.003514075,1.093047635,0.283879046,24.73841375,49.82208168,5.95163e-4,417.8703461,610.8572722,130.2609863,0.757708285,0.673343545,7_ACi
7,11:55:00,3674.500012,0,6.017379033,0.005037497,-1298.770136,7,6,138.0617218,555.9320679,149.104248,322.7229614,178.2628479,0.751657208,0.537980665,0.447628867,0.605761296,0.87,0.92,10.03421497,0.875017107,0.008857398,0.832053819,0.573237854,0.72262942,698.1654053,0.5,136.729731,0.155650811,2.326543143,24.90540314,2,4.644859791,1,9.289719582,24.91476631,24.90540314,24.85648537,600.0253296,595.9650879,10.70934963,10.81166267,26.15228653,26.40217972,300.9742737,698.239502,439.3187561,77.25415802,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504871368,1.55651e-4,298.0554031,298.0647663,111.7183178,0.419582265,3.16178904,40.92710504,30.11544236,24.91008472,3.162672269,0.005034767,0.835245897,2.327426372,0.003146974,-100.3353933,-2.179272179,24.503713779999998,595.0906307,0.002477742,417.8703461,610.9715093,173.6187134,0.782297973,0.558089629,7_ACi
8,12:00:10,3984.99999,0,6.095430397,0.005052544,-1222.130272,8,7,138.0617218,555.9320679,153.8745117,351.9081421,182.959198,0.751657208,0.562742394,0.480093876,0.605761296,0.87,0.92,10.03421497,0.875017107,0.008977628,0.853132591,0.50744955,0.579764721,698.9298706,0.5,146.8068488,0.155950454,2.324976379,24.73633194,2,4.644859791,1,9.289719582,24.77383614,24.73633194,24.72280312,700.1471558,696.0245972,10.31865215,10.42120171,25.40999413,25.66308784,300.9769592,698.8243408,448.1221313,77.25210571,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504884796,1.5595e-4,297.8863319,297.9238361,111.811892,0.421217136,3.130036155,40.51716295,30.09596124,24.75508404,3.133544148,0.005049798,0.805059776,2.328484372,0.00315637,-94.412137,-1.755872246,23.82061343,695.1387974,0.002088747,417.8703461,611.4832533,198.0336304,0.790048035,0.488246959,7_ACi
9,12:05:20,4295.499969,0,6.929027603,0.004124037,-1677.338878,9,8,138.0617218,555.9320679,156.6860352,394.2270203,192.5346832,0.751657208,0.602548717,0.511614696,0.605761296,0.87,0.92,10.03421497,0.875017107,0.010340331,0.849084367,0.40502606,0.410182558,698.8927612,0.5,156.4372243,0.127322235,2.325262854,24.70793724,2,4.644859791,1,9.289719582,24.73725128,24.70793724,24.68521309,999.7648926,995.0761108,10.26600647,10.34974098,25.3338089,25.54030037,300.9618835,698.8604736,454.102356,77.24521637,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504809418,1.27322e-4,297.8579372,297.8872513,111.8176733,0.425919589,3.124730835,40.45209506,30.10235408,24.72259426,3.127468399,0.004122207,0.799467982,2.328000417,0.002576544,-129.5664046,-1.685638777,23.67959141,994.0691712,0.001650555,417.8703461,611.5148702,237.5409851,0.7873523,0.386974211,7_ACi
10,12:10:30,4605.999948,0,6.964766042,0.004123145,-1500.97644,10,9,138.0617218,555.9320679,161.0751953,420.6089478,197.8390808,0.751657208,0.61704287,0.529636538,0.605761296,0.87,0.92,10.03421497,0.875017107,0.01039883,0.858346419,0.342714359,0.321731434,698.9109497,0.5,161.9520057,0.12742114,2.327902193,24.689888,2,4.644859791,1,9.289719582,24.7063942,24.689888,24.6476593,1199.917847,1195.188477,10.1873703,10.27117348,25.18830299,25.39553261,300.9727783,698.8566895,454.4793091,77.25119019,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504863892,1.27421e-4,297.839888,297.8563942,111.8170678,0.425319898,3.121362568,40.40536542,30.13419194,24.6981411,3.12290233,0.004121315,0.793460376,2.329441954,0.002575986,-115.9522164,-1.255849156,23.51542056,1194.176343,0.001371484,417.8703461,611.511559,259.5337524,0.788434097,0.323839969,7_ACi
11,12:15:40,4916.499926,0,6.664141599,0.004099598,-1115.733576,11,10,138.0617218,555.9320679,166.5473633,445.38797,202.5832062,0.751657208,0.626062277,0.545153395,0.605761296,0.87,0.92,10.03421497,0.875017107,0.009918519,0.870765441,0.283894299,0.248197314,698.2138672,0.5,166.5304821,0.128675756,2.364123029,24.84902382,2,4.644859791,1,9.289719582,24.814291,24.84902382,24.76012993,1500.244995,1495.688843,10.10279465,10.18742752,24.82118416,25.02929115,300.9820557,698.0606689,452.5115051,77.25663757,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504910278,1.28676e-4,297.9990238,297.964291,111.6897045,0.422224104,3.151169425,40.78833255,30.60090502,24.83165741,3.147904572,0.00409779,0.787046396,2.360858176,0.002561281,-86.19782451,-0.74596637,23.04807991,1494.720397,0.001027588,417.8703461,610.8150274,278.8406067,0.790055406,0.264541619,7_ACi
1,10:35:58,5424.5,0,-2.183161683,0.038456868,471.7596088,1,0,72.35424805,292.4194336,0,0,0,0.752566896,NA,NA,-2.183161683,0.87,0.92,0,0.87,0,NA,1,NA,0,0.5,NA,1.154219463,2.270920567,23.99274445,2,4.644859791,1,9.289719582,24.45350075,23.99274445,24.42556953,400.5053406,401.6526489,8.597929001,9.360824585,21.57065392,23.48462105,299.7566223,0.828838408,339.2980042,77.20995331,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498783112,0.001154219,297.1427444,297.6035007,0.132614142,-0.182151497,2.993669397,38.77310202,29.41227744,24.2231226,3.035351995,0.038298323,0.722748829,2.312603166,0.023950646,36.42453737,1.17454624,22.59234013,401.9699102,-0.001227025,220.0651855,0.721089415,0,0,1.328785527,1_ACi
2,10:43:28,5874,0,2.36441014,0.038555513,283.4887058,2,0,72.35424805,292.4194336,0,178.3986816,89.86132813,0.752566896,1,0.496289281,-2.183161683,0.87,0.92,10.12092686,0.875060463,0.007407584,0.496289281,0.389921937,0.639134499,701.5601196,0.5,152.3378618,1.154939076,2.267466025,23.88510132,2,4.644859791,1,9.289719582,23.1716938,23.88510132,22.87118721,400.2392883,398.355011,8.390576363,9.154008865,22.74163437,24.810825350000002,299.7951355,701.5601196,342.1408997,77.22294617,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498975677,0.001154939,297.0351013,296.3216938,112.2496166,0.213122988,2.974365559,38.51660299,29.36259412,23.52839756,2.911172923,0.038396156,0.706899534,2.204273389,0.024011864,21.89183307,0.711648399,22.2277599,398.0114103,0.001320453,220.0651855,613.9075234,178.3986816,0.834908071,0.518122627,1_ACi
3,10:45:59,6025,0,1.484391973,0.03898653,225.3818227,3,0,72.35424805,292.4194336,0,172.7399902,88.75292969,0.752566896,1,0.486205079,-2.183161683,0.87,0.92,10.12092686,0.875060463,0.005972021,0.486205079,0.409273221,0.692829976,701.8059692,0.5,149.2947773,1.16811424,2.26819014,23.86666679,2,4.644859791,1,9.289719582,23.30716515,23.86666679,23.06581497,300.361084,299.1376038,8.329731941,9.101976395,22.39266586,24.46867371,299.7709045,701.8059692,337.9037781,77.22283936,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498854523,0.001168114,297.0166668,296.4571651,112.2889526,0.217869832,2.971070601,38.47398809,29.37201169,23.58691597,2.921458652,0.038823597,0.702880461,2.218578192,0.024279334,17.40462428,0.753438618,22.12401915,298.921889,0.001098639,220.0651855,614.1226567,172.7399902,0.836643319,0.543836332,1_ACi
4,10:48:40,6186,0,0.372662752,0.038899964,175.6406569,4,0,72.35424805,292.4194336,0,160.6035156,86.11914063,0.752566896,1,0.463777986,-2.183161683,0.87,0.92,10.12092686,0.875060463,0.004162014,0.463777986,0.450776873,0.820753627,701.7612915,0.5,142.3992185,1.171052214,2.278733535,23.89253807,2,4.644859791,1,9.289719582,23.45723724,23.89253807,23.26039886,200.5102997,200.1053314,8.251952171,9.026187897,21.98148727,24.04389191,299.7748718,701.7612915,338.9933472,77.21556091,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498874359,0.001171052,297.0425381,296.6072372,112.2818041,0.222895833,2.975695696,38.53751318,29.51132528,23.67488766,2.936981161,0.038737753,0.696962161,2.240019,0.024225617,13.56219184,0.877741016,21.88339282,200.0511753,4.07652e-4,220.0651855,614.083561,160.6035156,0.844022586,0.598985785,1_ACi
5,10:51:11,6337,0,-0.909198018,0.039054671,132.8346325,5,0,72.35424805,292.4194336,0,148.6872559,84.95458984,0.752566896,1,0.4286357,-2.183161683,0.87,0.92,10.12092686,0.875060463,0.002076585,0.4286357,0.491527447,0.966674493,701.0828247,0.5,131.4818282,1.189841526,2.305643824,24.02983093,2,4.644859791,1,9.289719582,23.36338425,24.02983093,23.06561852,100.650116,101.1763763,8.210917473,8.997582436,21.994754790000002,24.10201073,299.7809448,701.0828247,342.5027161,77.20981598,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498904724,0.001189842,297.1798309,296.5133842,112.1732494,0.208710319,3.000345508,38.85963812,29.86205568,23.69660759,2.940824703,0.03889117,0.694701684,2.246123019,0.024321618,10.25613753,1.312901661,21.59976095,101.3085028,-0.001938481,220.0651855,613.4898615,148.6872559,0.834929316,0.653134558,1_ACi
6,10:54:11,6517,0,-1.406533064,0.038953144,105.767976,6,0,72.35424805,292.4194336,0,141.295166,86.21337891,0.752566896,1,0.389834901,-2.183161683,0.87,0.92,10.12092686,0.875060463,0.001266866,0.389834901,0.516806512,1.069564316,700.5587158,0.5,119.4904854,1.177382913,2.287686452,23.92459297,2,4.644859791,1,9.289719582,22.41370201,23.92459297,21.69857979,50.70837021,51.60626602,8.206896782,8.985384941,23.28541183,25.4942131,299.7614441,700.5587158,350.5720215,77.2085495,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.49880722,0.001177383,297.074593,295.563702,112.089392,0.172877349,2.98143499,38.61534778,29.62996284,23.16914749,2.8487191,0.03879049,0.693748538,2.154970562,0.024258617,8.166192012,2.049518095,21.72640815,51.81066612,-0.005898189,220.0651855,613.0312345,141.295166,0.798970898,0.686725014,1_ACi
7,10:56:56,6682,0,4.608500428,0.039459723,384.9467973,7,0,72.35424805,292.4194336,0,182.7873535,91.26977539,0.752566896,1,0.500677844,-2.183161683,0.87,0.92,10.12092686,0.875060463,0.011082145,0.500677844,0.374913797,0.59977935,700.3484497,0.5,153.4195172,1.187274233,2.277474888,23.87084007,2,4.644859791,1,9.289719582,22.55226898,23.87084007,22.08634567,599.7399902,596.1929321,8.208328247,8.993351936,23.09345818,25.30205917,299.7608032,700.3484497,350.5129089,77.20606995,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498804016,0.001187274,297.0208401,295.702269,112.0557494,0.179600955,2.971816247,38.49200262,29.49865069,23.21155453,2.856029811,0.03929282,0.694341359,2.161688452,0.024572953,29.72022936,0.645674876,21.83244923,595.5232159,0.00168952,220.0651855,612.847239,182.7873535,0.828715065,0.498180027,1_ACi
8,10:59:28,6834,0,4.651119571,0.039552247,478.1436821,8,0,72.35424805,292.4194336,0,199.9865723,94.7277832,0.752566896,1,0.526329282,-2.183161683,0.87,0.92,10.12092686,0.875060463,0.011147137,0.526329282,0.316096848,0.462195338,700.6343994,0.5,161.3455737,1.189533325,2.276249946,23.87310791,2,4.644859791,1,9.289719582,22.56993675,23.87310791,22.08794022,698.9718018,695.3168945,8.228821754,9.015288353,23.12418175,25.33426857,299.7735291,700.6343994,348.5761414,77.19903564,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498867645,0.001189533,297.0231079,295.7199368,112.1015014,0.180070254,2.972221513,38.50075961,29.48547126,23.22152233,2.857750579,0.039384562,0.695971567,2.1617790120000002,0.024630362,36.91223116,0.687662972,21.88469097,694.6409848,0.001465337,220.0651855,613.0974622,199.9865723,0.824703222,0.420024917,1_ACi
9,11:01:59,6985,0,7.462222278,0.039442296,651.1564562,9,0,72.35424805,292.4194336,0,218.3486328,98.90136719,0.752566896,1,0.547048379,-2.183161683,0.87,0.92,10.12092686,0.875060463,0.015729383,0.547048379,0.253303277,0.339231805,700.7607422,0.5,167.7272266,1.201556819,2.305064431,24.03948784,2,4.644859791,1,9.289719582,23.02798653,24.03948784,22.67332458,1001.012268,995.2363892,8.234949112,9.02928257,22.50671387,24.67768478,299.8004456,700.7607422,347.2689209,77.19567871,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.499002228,0.001201557,297.1894878,296.1779865,112.1217162,0.19095811,3.002086028,38.88930155,29.86001898,23.53373718,2.912110149,0.03927554,0.697021596,2.215088552,0.02456214,50.26646458,0.654273159,21.66569753,994.1519646,0.001626253,220.0651855,613.2080198,218.3486328,0.818163423,0.336585728,1_ACi
10,11:04:44,7150,0,7.791697361,0.039714119,830.0879925,10,0,72.35424805,292.4194336,0,227.0991211,99.32714844,0.752566896,1,0.562626452,-2.183161683,0.87,0.92,10.12092686,0.875060463,0.016265712,0.562626452,0.223378835,0.287629085,700.8024902,0.5,172.5138031,1.194262458,2.27587247,23.8690052,2,4.644859791,1,9.289719582,22.69211578,23.8690052,22.27935219,1200.170898,1194.021118,8.22173214,9.011331558,22.93190384,25.1342411,299.7723999,700.8024902,241.2551422,77.19346619,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498862,0.001194262,297.0190052,295.8421158,112.1283959,0.18497812,2.971488388,38.49404017,29.48270861,23.28056049,2.867961095,0.039545061,0.695615918,2.172345178,0.024730797,64.07736938,0.695203778,21.88015825,1192.888814,0.001429166,220.0651855,613.2445519,227.0991211,0.825694384,0.296822563,1_ACi
11,11:07:17,7303,0,9.68757699,0.03928569,1035.735938,11,0,72.35424805,292.4194336,0,231.8630371,100.5991211,0.752566896,1,0.566126959,-2.183161683,0.87,0.92,10.12092686,0.875060463,0.019347676,0.566126959,0.207087456,0.261173136,701.1499023,0.5,173.6731897,1.180808467,2.274582324,23.86335754,2,4.644859791,1,9.289719582,22.95287514,23.86335754,22.6719532,1500.37146,1492.732056,8.23463726,9.015352249,22.60682106,24.75014305,299.7670288,701.1499023,350.2156372,77.19023132,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498835144,0.001180808,297.0133575,296.1028751,112.1839819,0.199480523,2.970479449,38.48258256,29.46723031,23.40811634,2.890130603,0.039120252,0.695897126,2.194233477,0.024464968,79.94869667,0.693852547,21.89463476,1491.324238,0.001422266,220.0651855,613.5485585,231.8630371,0.822925914,0.275174814,1_ACi
12,11:10:19,7485.5,0,11.83533923,0.039007431,1420.683199,12,0,72.35424805,292.4194336,0,229.5549316,98.37573242,0.752566896,1,0.571450146,-2.183161683,0.87,0.92,10.12092686,0.875060463,0.022842414,0.571450146,0.214980589,0.273853851,701.3285522,0.5,175.3508739,1.176914724,2.283211586,23.91397095,2,4.644859791,1,9.289719582,23.16353226,23.91397095,22.86907959,1999.980225,1990.521606,8.242108345,9.020184517,22.3424015,24.45158195,299.7903748,701.3285522,351.96429439999997,77.19581604,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498951874,0.001176915,297.0639709,296.3135323,112.2125659,0.207426101,2.979532091,38.59706709,29.57688257,23.5387516,2.912990534,0.038844324,0.696320505,2.21667003,0.024292304,109.6707989,0.713724078,21.82941778,1988.801672,0.001299067,220.0651855,613.7048879,229.5549316,0.834469649,0.285663095,1_ACi
13,11:25:57,8423.5,0,9.700410158,0.108270533,233.3448429,13,0,250.5830078,867.0209961,0,0,0,0.710983922,NA,NA,9.700410158,0.87,0.92,0,0.87,0,NA,1,NA,701.3285522,0.5,NA,3.00766119,2.117467113,23.56301689,2,4.644859791,1,9.289719582,26.78786087,23.56301689,27.35464287,399.4249268,392.165741,8.3732481,10.35920143,18.28842545,22.62604332,299.7557068,1.094707489,424.293457,77.20546722,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498778534,0.003007661,296.7130169,299.9378609,0.175153194,-0.382259922,2.917254099,37.7855896,27.42638817,25.17543888,3.213087834,0.107023191,0.799786987,2.413300847,0.067000453,18.01549762,0.595015879,26.48221168,390.7560586,0.006574135,616.4379883,0.952395515,0,0,1.406501566,18_ACi
14,11:33:29,8875,0,8.339187942,0.107451785,253.4142437,14,0,250.5830078,867.0209961,0,637.7353516,318.8735352,0.710983922,1,0.499990812,9.700410158,0.87,0.92,10.18026161,0.875090131,-0.002227836,0.499990812,0.26445224,0.359531025,698.2211914,0.5,152.7488115,3.087339426,2.188677519,23.94123268,2,4.644859791,1,9.289719582,25.14835167,23.94123268,25.20690155,400.2171021,393.8430176,8.2700557709999991,10.30834675,19.9007206,24.80558205,299.8113708,698.2211914,429.9714661,77.19380951,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.499056854,0.003087339,297.0912327,298.2983517,111.7153881,-0.042843665,2.984418074,38.66136538,28.35301863,24.54479218,3.094400537,0.106223129,0.795740555,2.298659982,0.06649876,19.56201085,0.643439727,25.68207803,392.6311507,0.005454679,616.4379883,611.0064737,637.7353516,0.823608126,0.37195249,18_ACi
15,11:36:01,9027,0,6.001196267,0.110540655,196.3872606,15,0,250.5830078,867.0209961,0,617.7915039,312.3496094,0.710983922,1,0.494409348,9.700410158,0.87,0.92,10.18026161,0.875090131,-0.006056394,0.494409348,0.287454967,0.403420071,697.979248,0.5,150.9913174,3.194690789,2.202146053,24.03170013,2,4.644859791,1,9.289719582,25.35287094,24.03170013,25.40341568,300.261261,295.6269836,8.234103203,10.34362221,19.57630539,24.59161568,299.7504272,697.979248,304.3135071,77.20083618,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498752136,0.003194691,297.1817001,298.5028709,111.6766772,-0.056654544,3.000682336,38.86852118,28.52489897,24.69228554,3.121809803,0.109240772,0.798536284,2.323273519,0.068391091,15.16126073,0.664307629,25.64523977,294.7548782,0.005221359,616.4379883,610.7947515,617.7915039,0.831794193,0.404305862,18_ACi
16,11:38:45,9191,0,3.29238581,0.1150086,143.0731012,16,0,250.5830078,867.0209961,0,582.7961426,300.9963379,0.710983922,1,0.483530662,9.700410158,0.87,0.92,10.12092686,0.875060463,-0.010432552,0.483530662,0.327817729,0.487691721,701.9328003,0.5,148.5003997,3.241292882,2.149248896,23.73560333,2,4.644859791,1,9.289719582,24.35420227,23.73560333,24.2231636,199.73660280000001,197.1136322,8.202749252,10.3429842,20.69952774,26.10038185,299.7585144,701.9328003,437.6330566,77.20088196,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498792572,0.003241293,296.8856033,297.5042023,112.3092455,-0.094529562,2.947736398,38.18267776,27.83969356,24.0449028,3.003062383,0.113602182,0.798487502,2.204574881,0.071126396,11.04536959,0.725840722,26.18891729,196.6351763,0.004384974,616.4379883,614.2336415,582.7961426,0.84825004,0.461076149,18_ACi
17,11:41:18,9344,0,0.137810497,0.118510952,94.69200639,17,0,250.5830078,867.0209961,0,527.0290527,287.8293457,0.710983922,1,0.453864366,9.700410158,0.87,0.92,10.12092686,0.875060463,-0.015574457,0.453864366,0.392138074,0.645110439,701.6572266,0.5,139.334658,3.360058393,2.162687925,23.84137726,2,4.644859791,1,9.289719582,24.96576118,23.84137726,25.01212311,101.3799286,101.0614395,8.193984032,10.41232777,19.93587875,25.33308601,299.7797241,701.6572266,433.2613525,77.20345306,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498898621,0.003360058,296.9913773,298.1157612,112.2651537,-0.092582533,2.966555583,38.42516708,28.01283931,24.40356922,3.068353889,0.117018127,0.803867658,2.264486231,0.073269001,7.310549871,0.936974645,26.21423683,101.0414126,3.57536e-4,616.4379883,613.9924978,527.0290527,0.865267243,0.551542815,18_ACi
18,11:43:50,9496,0,-2.030366017,0.12255026,74.81482068,18,0,250.5830078,867.0209961,0,491.517334,278.7263184,0.710983922,1,0.432926778,9.700410158,0.87,0.92,10.12092686,0.875060463,-0.019113655,0.432926778,0.433096388,0.7639683,701.366394,0.5,132.8518078,3.542692937,2.20507298,24.13323975,2,4.644859791,1,9.289719582,25.4164257,24.13323975,25.40442848,49.71418762,50.94851685,8.204246521,10.54319096,19.43208313,24.97196579,299.7370605,701.366394,437.77771,77.20209503,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498685303,0.003542693,297.2832397,298.5664257,112.2186205,-0.117536651,3.01902941,39.10553734,28.56234639,24.77483273,3.137242289,0.120954623,0.81395643,2.323285859,0.075738396,5.775860896,1.468439619,26.07675602,51.24357356,-0.010332097,616.4379883,613.7380018,491.517334,0.883190947,0.609150749,18_ACi
19,11:46:28,9654,0,14.1137857,0.12777532,386.6562728,19,0,250.5830078,867.0209961,0,658.2941895,326.609375,0.710983922,1,0.503854993,9.700410158,0.87,0.92,10.12092686,0.875060463,0.007194122,0.503854993,0.240740198,0.31707223,701.0597534,0.5,154.5498789,3.638673955,2.173026039,23.99216652,2,4.644859791,1,9.289719582,24.70708084,23.99216652,24.42643547,598.7783203,587.9345703,8.229729652,10.63157368,20.32811546,26.26086998,299.7687683,701.0597534,446.8644409,77.17948914,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498843842,0.003638674,297.1421665,297.8570808,112.169558,-0.160704186,2.993565464,38.78705985,28.15548617,24.34962368,3.058455076,0.126041681,0.820539425,2.237915651,0.078929994,29.8419336,0.657651875,26.58085782,585.8835277,0.006403261,616.4379883,613.4696727,658.2941895,0.813528864,0.338601466,18_ACi
20,11:49:10,9816,0,15.5979297,0.132143563,469.236608,20,0,250.5830078,867.0209961,0,692.6447754,328.8330078,0.710983922,1,0.525250143,9.700410158,0.87,0.92,10.12092686,0.875060463,0.009617941,0.525250143,0.201121105,0.251754185,700.7276001,0.5,161.0361837,3.761590881,2.172671999,24.03624916,2,4.644859791,1,9.289719582,25.01254845,24.03624916,24.81471252,699.1791382,687.0498657,8.2579422,10.74031544,20.0268383,26.04699516,299.809082,700.7276001,449.5733032,77.1700058,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.49904541,0.003761591,297.1862492,298.1625484,112.1164135,-0.170652568,3.001502204,38.89467381,28.15435838,24.5243988,3.09062736,0.130290223,0.828830205,2.261797155,0.081595896,36.21099176,0.682973146,26.81275282,684.7831444,0.006107385,616.4379883,613.1790185,692.6447754,0.822988537,0.282877149,18_ACi
21,11:51:52,9978,0,19.16256094,0.134315819,715.042114,21,0,250.5830078,867.0209961,0,701.1918945,325.5778809,0.710983922,1,0.535679343,9.700410158,0.87,0.92,10.12092686,0.875060463,0.015428248,0.535679343,0.191263075,0.236496033,700.866333,0.5,164.2661827,3.834383509,2.17917307,24.09626389,2,4.644859791,1,9.289719582,25.19465065,24.09626389,25.00787544,1000.759338,985.4535522,8.265925407,10.7965126,19.82983398,25.90067673,299.7711792,700.866333,448.0369873,77.16972351,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498855896,0.003834384,297.2462639,298.3446507,112.1386108,-0.177786158,3.012336963,39.03521777,28.23870517,24.64545727,3.113084624,0.132401486,0.833163893,2.279920731,0.082920816,55.17960224,0.725596972,26.86727128,982.6688119,0.00523926,616.4379883,613.3004182,701.1918945,0.83356992,0.269011814,18_ACi
22,11:54:24,10130,0,20.979569,0.133021277,879.7456121,22,0,250.5830078,867.0209961,0,706.7055664,320.9550781,0.710983922,1,0.545843286,9.700410158,0.87,0.92,10.12092686,0.875060463,0.018390029,0.545843286,0.184903746,0.22684897,700.9002686,0.5,167.3910622,3.803511816,2.182165858,24.10642624,2,4.644859791,1,9.289719582,25.20607376,24.10642624,25.00691986,1199.944946,1182.946777,8.272320747,10.78245926,19.83001137,25.84719658,299.7843018,700.9002686,455.4324951,77.16320801,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.498921509,0.003803512,297.2564262,298.3560738,112.1440405,-0.172256436,3.014175004,39.06233401,28.27987475,24.65625,3.115093665,0.131143409,0.832009147,2.283084518,0.082131302,67.88399366,0.743689935,26.800946,1179.897986,0.004765431,616.4379883,613.3301138,706.7055664,0.845716751,0.260067408,18_ACi
